id,a1,a2,a3,tst,exm,course
3542,30.3,36.85,10.0,22,64.5,83
3609,41.5,51.50,19.75,23.5,44.5,72
3718,,50.50,18.5,18.5,59.0,72
3493,41.0,52.00,19.0,20.50,66.0,91
2884,37.0,51.00,18.25,19.00,32.5,66
2851,42.5,47.00,11.75,17.00,53.0,77
3580,43.0,46.00,18.5,9.00,50.0,72
3447,40.5,44.25,13.75,12.00,29.0,53
2688,41.0,50.50,15.25,20.50,57.5,83
3149,41.0,32.70,7.0,14.00,50.5,67
3410,21.0,39.75,18.25,14.50,32.5,60
3294,44.0,52.00,17.75,22.00,69.0,94
2505,45.5,52.00,19.0,22.5,,36
3286,40.5,48.75,,20.5,28.0,50
3124,41.5,49.00,14.0,15.00,35.0,64
2915,31.8,50.50,19.75,11.50,44.0,70
3023,39.0,43.50,19.5,18,47.0,74
2757,44.0,51.50,14.0,15.00,37.0,66
2957,40.5,52.00,11.75,22.00,42.0,72
3277,44.0,51.50,15.25,21.50,53.5,82
2751,43.0,52.00,20.0,23.00,69.5,95
2561,43.0,52.00,19.5,24,68.0,94
2655,44.0,49.00,17.5,22.50,67.0,92
2809,43.0,51.50,6.0,23.5,62.5,84
2492,45.5,51.00,16.25,22.50,67.5,92
3032,41.0,52.00,18.75,22.50,73.0,97
2894,37.5,31.25,16.5,12.50,30.0,57
2986,40.5,50.50,19.25,16.00,32.5,64
2984,28.5,35.50,,15.50,26.5,47
3544,42.0,49.00,19.25,22.50,67.0,93
2748,45.0,50.50,19.75,23.00,72.0,97
3559,35.2,37.60,6.5,16.50,37.5,62
3113,43.0,50.50,16.25,24.00,67.5,93
3638,30.4,40.55,13.75,19.50,38.0,67
3600,4.5,,,,,4
2587,45.0,38.70,15.75,21.5,65.0,88
3339,40.0,48.75,17.25,21.00,64.5,86
3522,41.5,47.50,15.25,18.50,57.5,82
2462,43.5,41.30,19.75,22.50,71.0,94
2970,42.5,51.00,13.0,15.50,37.0,66
3107,41.5,52.00,20.0,22.00,69.0,93
2960,32.5,43.75,11.5,19.50,58.5,76
2595,41.0,46.00,19.25,20.00,69.5,92
2643,41.7,43.55,15.5,19.00,65.0,87
2847,42.0,47.50,15.5,20.50,30.0,65
3074,43.5,32.25,5.0,16.00,34.0,58
3241,31.3,,,12.00,,20
3040,43.0,51.00,19.0,19.50,65.5,87
3323,29.5,28.50,10.0,12.00,41.0,57
2506,42.0,49.50,17.5,15.75,11.5,47
3223,42.0,47.50,17.75,21.00,69.0,92
3372,45.0,43.25,9.25,18.50,54.0,77
3257,42.5,50.50,20.0,23.50,71.0,96
3719,38.0,49.00,17.5,19.5,63.0,86
2692,42.5,51.25,16.5,23.00,57.5,85
3101,43.5,48.00,14.75,20.00,54.0,81
3044,39.5,46.00,,21,62.0,75
2895,43.5,45.50,17.5,19.00,63.0,87
3092,41.0,,19.0,19.00,63.0,73
3292,,,,,,2
2501,37.0,48.00,14.5,19.25,58.5,82
2678,43.5,52.00,18.25,22.00,73.5,97
3036,40.0,51.00,19.0,20.00,72.5,95
3049,41.5,51.50,17.5,22.50,68.0,93
2740,41.5,35.00,,20.50,,32
2565,41.0,52.00,19.5,17.50,61.0,85
2476,45.5,51.50,18.75,22.50,64.0,87
3347,41.0,52.00,20.0,17.00,40.0,72
2601,41.0,42.75,17.5,23,56.5,78
3055,42.0,49.00,11.5,17,70.0,89
3583,43.0,51.00,13.25,20,62.5,86
3483,41.5,36.10,4.25,15.50,50.5,65
3105,44.0,10.00,,19.50,30.0,46
2663,,,,,,3
3346,43.5,47.00,14.0,14.00,30.5,56
2545,33.7,2.40,,17.50,36.0,51
2797,44.0,24.25,5.25,11.00,22.5,38
3514,41.5,51.50,19.75,22.00,70.5,95
3525,43.0,50.00,19.0,20.50,67.5,92
3052,39.0,49.50,11.5,17,63.5,83
3579,43.5,52.00,15.25,15.50,55.0,79
3634,44.5,40.25,,7.00,3.5,24
2942,42.5,49.00,19.5,20.00,64.0,89
3343,,,,10.5,,10
2622,42.5,52.00,19.0,17.50,51.0,79
2762,40.5,50.50,18.25,16.50,26.0,47
2854,44.0,47.50,15.5,23.00,58.0,85
2764,40.0,49.50,7.0,20.00,35.0,64
3651,35.8,,,9.50,,17
3115,39.0,46.75,14.0,22.50,61.5,86
2630,41.0,48.00,18.25,18.00,53.5,80
2768,,,,,,2
3678,42.0,,,18.50,62.5,60
2845,39.5,18.00,,14.50,,27
3230,21.6,,,5.50,,13
2638,43.5,52.00,16.75,18.00,66.0,88
2516,31.3,38.75,18.0,15.00,33.5,62
3404,36.7,50.00,18.5,13.50,32.0,63
2978,45.5,52.00,19.25,23.00,68.5,95
3481,44.0,46.75,13.5,15.50,49.0,73
3090,42.5,40.00,14.0,21.50,60.5,84
2943,39.0,50.50,16.75,15.00,58.0,81
3367,31.3,51.50,19.75,23.5,37.5,70
3519,42.0,51.00,12.5,22.00,50.0,78
3329,46.0,51.00,18.0,24.00,67.5,94
3251,42.5,47.50,18.5,21.50,55.0,83
2618,42.0,50.00,16.25,14.00,35.5,65
2591,43.5,46.25,17.5,22,65.0,90
2927,42.0,49.00,13.75,19,46.0,73
3144,41.0,40.75,14.25,20.50,64.5,83
2707,40.0,49.50,19.75,20.00,57.5,84
3601,45.0,49.00,19.0,18.50,50.0,79
3577,44.0,48.25,20.0,20.00,61.5,88
3153,39.5,52.00,15.5,20.50,70.0,92
2468,38.5,50.25,18.5,21.5,44.0,74
3165,43.0,50.00,18.0,22.00,63.5,89
3058,33.3,,,19.5,,15
2820,39.0,43.25,16.75,13.50,34.0,63
3173,43.5,48.25,16.75,19.50,67.5,90
3016,40.5,40.75,7.75,23.00,45.5,72
2562,43.5,42.75,5.5,18.5,36.5,61
2966,41.0,50.00,19.5,21.00,69.0,93
2461,45.5,43.00,18.0,15.50,29.5,61
3132,42.0,51.50,19.0,21.50,52.5,83
2731,45.5,51.00,18.0,18.50,68.5,91
3507,38.5,52.00,19.0,14.00,56.5,80
2578,42.5,49.50,8.5,20.00,59.5,82
3540,40.5,50.50,19.0,20.00,46.0,77
3549,43.0,50.50,19.75,23.00,73.5,98
2701,42.5,50.75,19.0,21.50,66.0,91
3656,43.0,51.25,19.5,16.50,47.0,76
2451,41.0,45.50,19.0,15.5,61.0,85
2472,41.5,52.00,19.25,21.50,71.5,95
3031,44.0,50.00,19.5,17.00,48.0,77
3025,40.5,,,6.50,,18
3497,42.0,49.75,20.0,22.50,68.0,94
3303,38.0,45.75,19.5,21.50,54.5,83
3616,39.0,,,,,9
3529,42.0,49.00,14.0,21.50,71.0,92
2656,38.5,46.00,18.0,14.50,42.5,70
2742,43.0,48.50,20.0,21.5,57.0,85
2436,45.5,52.00,18.25,19.50,67.0,91
2481,42.5,,,19.5,,18
2626,45.5,49.50,19.5,18.00,65.0,89
2810,40.0,50.75,18.75,17.00,59.5,84
2818,37.5,49.50,18.5,22.50,63.5,89
3100,42.5,51.50,14.0,18.50,48.0,76
3084,42.5,37.00,19.0,18.50,26.0,47
2540,39.0,39.75,13.75,18.50,65.0,85
2745,40.5,47.50,14.0,21.00,64.0,85
2456,37.5,48.75,19.5,23.50,66.0,92
2972,38.0,48.50,13.25,15.00,25.0,47
2433,40.0,51.50,19.5,23.00,69.5,95
2624,34.0,52.00,,13.00,27.5,43
3327,39.0,49.50,10.0,17.50,39.5,67
2487,41.5,45.25,16.5,16.50,39.5,69
3702,41.5,50.50,17.5,19.5,51.0,78
3141,39.5,50.50,16.75,23.00,68.5,93
2832,43.5,52.00,17.0,14.00,20.5,47
3531,42.5,51.50,16.5,19.50,66.5,88
3121,42.5,48.00,14.75,17.50,58.5,82
3089,43.5,51.50,20.0,22.50,67.5,94
2615,43.0,51.50,19.0,21.50,61.0,88
3578,44.0,49.00,16.75,20.50,61.0,85
3224,43.0,39.50,17.5,12.00,14.5,46
2806,38.5,52.00,18.25,20.50,52.5,81
3662,39.0,45.50,19.0,19,60.0,84
3263,43.5,51.25,16.25,23.00,67.0,92
3135,42.5,52.00,19.0,20.50,71.0,94
3357,40.0,48.50,15.5,17.00,67.5,88
3465,39.5,49.50,20.0,21.00,66.0,91
2532,40.5,50.00,18.0,19.50,65.0,89
3233,43.5,32.50,6.5,17.50,46.5,68
2842,41.0,47.50,14.0,20.25,66.5,88
3432,41.5,45.25,7.75,20.5,46.5,70
3276,42.5,51.50,19.5,23.50,70.0,96
3374,40.5,49.50,15.0,17.50,45.5,73
3433,41.5,48.00,13.25,20.00,67.5,89
2480,36.5,38.25,19.0,17.00,37.5,67
3334,41.0,44.00,14.25,22.00,64.5,88
2769,38.5,43.25,12.5,21.50,55.0,79
3268,33.0,,0.0,19.00,36.0,53
2870,,,,,,4
2572,40.0,52.00,17.25,20.5,63.5,88
2931,46.0,51.25,15.0,24.00,73.0,97
2635,43.0,51.50,20.0,21.50,68.0,93
3320,43.0,44.00,18.0,21.50,66.5,90
3613,42.0,52.00,18.25,19,65.0,90
2898,43.0,51.00,19.25,21.50,,47
2827,40.5,49.50,15.25,16,57.0,81
2790,39.5,43.75,16.5,17.25,58.0,81
3413,44.0,51.50,17.75,21.50,64.5,90
2934,44.0,47.00,17.5,18.50,61.0,85
3096,38.5,44.75,19.75,23.5,67.5,92
2739,45.0,43.50,18.25,20.50,60.5,86
2900,43.0,49.25,18.5,19.00,55.0,82
3197,46.0,50.50,19.5,18.50,47.5,73
2765,44.0,48.00,13.75,20,43.5,72
3518,45.0,46.50,19.5,17.50,58.5,82
2646,45.5,52.00,14.5,23.50,69.5,94
3449,36.0,40.00,14.75,21.00,64.0,86
3059,42.5,51.00,14.5,17.00,49.5,76
3242,39.5,49.50,15.0,23.5,52.5,80
2858,41.5,,,17.5,,18
2448,31.7,50.00,15.0,16.50,57.0,79
2788,42.5,,,,,10
2734,43.5,51.00,20.0,21.50,70.0,95
2977,43.0,51.00,17.0,23.00,70.0,94
2864,42.5,32.50,7.0,15.50,43.5,57
2653,42.0,41.25,16.25,19.75,59.0,83
2508,42.0,50.50,14.5,19.50,48.0,76
3403,43.5,51.00,19.5,20.50,63.0,89
3517,30.5,13.75,0.0,7.50,19.0,31
3068,43.5,51.50,19.25,22.00,71.0,95
2772,43.5,49.00,17.5,20.50,50.5,80
3047,40.5,41.25,9.0,22.00,54.0,77
3705,,,,,,2
2426,46.0,51.50,19.75,23.00,71.5,97
3319,39.0,51.50,18.5,21.50,62.5,89
3460,40.0,52.00,15.5,21.00,52.0,80
2537,40.0,35.50,12.25,11.5,26.5,47
2699,,,,8.25,,8
2453,44.0,45.25,19.0,22.00,60.5,87
2991,41.5,44.00,20.0,22.50,62.0,89
3293,31.3,17.15,,21.50,40.0,58
3706,45.5,50.50,,23,,35
2660,44.0,51.00,20.0,20.50,69.5,93
2905,30.3,32.00,5.0,14.5,52.0,68
3668,37.0,47.75,2.5,18.50,36.5,56
2703,34.0,,,,,6
2885,43.5,39.75,16.5,20,60.5,84
2825,45.5,50.50,15.25,23.5,70.5,94
3614,40.5,24.45,12.25,22.50,56.0,78
3476,44.0,50.50,19.75,22.50,66.5,93
2995,46.0,49.50,18.25,23,67.5,93
2989,41.5,10.00,2.75,19.5,60.0,73
2450,43.5,50.00,19.25,23.00,75.0,98
2893,43.5,51.00,16.75,23.00,68.5,93
3441,43.0,48.00,16.5,21.00,70.0,91
2533,,49.50,19.0,20.50,50.5,75
2555,43.5,48.50,8.5,21.00,64.0,83
2664,45.5,51.50,18.5,22.50,69.5,95
3484,40.0,47.00,18.0,20.50,49.0,76
3274,39.0,51.50,18.5,21.50,52.0,82
3341,,,,,,3
3660,41.0,32.25,5.0,10.00,46.0,62
3331,43.5,47.75,13.75,24,61.5,86
3273,39.5,36.10,4.25,15.00,35.0,57
3262,34.5,,,,,9
3104,43.0,14.90,15.5,23.5,61.5,80
2683,20.8,51.50,20.0,12.00,27.5,47
2897,44.0,51.50,20.0,22.50,71.5,96
2879,43.0,51.00,19.0,22.00,64.0,91
2917,45.0,49.00,19.5,22.75,71.0,96
3667,33.5,29.25,5.75,18.00,43.0,62
3033,42.0,49.75,17.25,19.50,58.5,82
2519,39.2,50.00,7.5,14.5,41.0,61
3552,44.0,50.50,19.0,19.00,70.0,93
2744,28.8,47.75,20.0,20.50,63.5,87
2528,43.0,49.00,19.0,20.50,69.5,91
2726,44.0,49.00,15.5,21.50,58.5,85
2444,10.5,9.25,,17,10.5,28
3020,42.5,36.80,19.25,20,63.0,85
3041,44.0,46.25,14.25,23.50,62.0,88
2499,44.5,47.00,18.5,21.00,60.0,87
2776,,,,,,3
2964,41.0,52.00,19.0,22.00,70.0,94
3382,44.0,51.00,19.5,22.50,63.0,90
2596,43.0,50.50,19.5,21.50,69.0,94
2778,43.0,49.50,12.5,24.00,63.0,88
3060,44.0,47.75,14.5,18.50,64.0,86
2920,37.5,49.00,17.25,20.00,63.0,86
3220,26.9,28.25,,14.5,46.5,60
3596,44.5,51.00,19.5,20.00,40.5,74
2983,43.5,50.00,14.75,14.50,20.5,47
3582,43.0,38.40,14.25,21.50,69.0,90
2865,41.0,46.75,18.5,16.50,55.0,80
2640,42.5,52.00,20.0,20.50,69.5,94
2873,41.0,,,20.50,,24
2823,27.6,38.65,7.5,18.50,45.5,64
3152,42.5,51.50,18.5,19.00,61.5,86
3492,43.5,50.25,19.0,20.00,61.0,87
2486,46.0,50.00,20.0,23,69.5,95
3333,45.0,52.00,18.25,22.50,68.5,94
3212,43.0,52.00,19.5,24.00,70.0,96
3691,44.0,51.25,20.0,20.00,61.5,88
2711,44.0,50.50,19.5,22.00,64.5,91
3019,41.0,49.75,20.0,23.50,71.0,96
